Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Oscillators_RSI,Oscillators_RSI[1],Oscillators_STOCH.K,Oscillators_STOCH.D,Oscillators_CCI,Oscillators_MACD.macd,Oscillators_MACD.signal,Moving Averages_EMA5,Moving Averages_EMA10,Moving Averages_EMA20,Moving Averages_EMA50,Moving Averages_EMA100,Moving Averages_EMA200,Moving Averages_SMA5,Moving Averages_SMA10,Moving Averages_SMA20,Moving Averages_SMA50,Moving Averages_SMA100,Moving Averages_SMA200,Info_marketCap,Info_trailingPE,Info_dividendYield,Info_fiftyDayAverage,Info_twoHundredDayAverage
2021-02-04 00:00:00-05:00,319.263,321.708,317.939,321.62,22350900,0.0,0.0,0.0,63.892,59.397,99.544,88.737,88.226,4.399,4.234,317.706,315.666,312.452,303.621,290.96,269.798,315.792,315.947,312.392,303.502,288.614,266.341,177154441216,28.883,0.56,505.098,494.439
2021-02-05 00:00:00-05:00,322.574,323.723,320.928,322.711,22732000,0.0,0.0,0.0,67.467,63.892,94.705,91.43,97.52,4.689,4.325,319.374,316.947,313.429,304.37,291.589,270.324,319.064,316.525,313.189,304.311,289.166,266.931,177154441216,28.883,0.56,505.098,494.439
2021-02-08 00:00:00-05:00,324.405,325.028,322.759,324.873,20462800,0.0,0.0,0.0,66.05,67.467,99.237,97.829,106.491,5.035,4.467,321.207,318.388,314.519,305.174,292.248,270.867,321.238,317.058,313.898,305.083,289.702,267.534,177154441216,28.883,0.56,505.098,494.439
2021-02-09 00:00:00-05:00,323.938,326.071,323.928,324.805,17597500,0.0,0.0,0.0,60.541,66.05,94.104,96.015,100.559,5.243,4.622,322.406,319.554,315.499,305.944,292.892,271.404,322.374,317.537,314.827,305.818,290.281,268.121,177154441216,28.883,0.56,505.098,494.439
2021-02-10 00:00:00-05:00,326.246,326.704,320.899,324.064,28068700,0.0,0.0,0.0,57.201,60.541,88.062,93.801,78.123,5.287,4.755,322.959,320.374,316.314,306.654,293.51,271.928,323.614,318.835,315.744,306.486,290.893,268.695,177154441216,28.883,0.56,505.098,494.439
2021-02-11 00:00:00-05:00,325.603,326.256,323.451,325.847,22046100,0.0,0.0,0.0,60.119,57.201,96.124,92.763,79.353,5.404,4.885,323.921,321.369,317.222,307.407,294.15,272.464,324.46,320.126,316.647,307.178,291.558,269.298,177154441216,28.883,0.56,505.098,494.439
2021-02-12 00:00:00-05:00,324.999,327.833,323.947,327.668,20346800,0.0,0.0,0.0,59.384,60.119,99.288,94.491,79.314,5.579,5.024,325.17,322.514,318.217,308.201,294.814,273.014,325.451,322.258,317.723,307.831,292.234,269.874,177154441216,28.883,0.56,505.098,494.439
2021-02-16 00:00:00-05:00,328.466,329.362,325.613,326.782,27080800,0.0,0.0,0.0,57.745,59.384,89.579,94.997,72.177,5.582,5.135,325.707,323.29,319.033,308.93,295.447,273.549,325.833,323.536,318.876,308.459,292.853,270.445,177154441216,28.883,0.56,505.098,494.439
2021-02-17 00:00:00-05:00,323.792,326.898,321.552,325.214,31360300,0.0,0.0,0.0,69.427,57.745,83.248,90.705,41.905,5.395,5.187,325.543,323.64,319.621,309.569,296.036,274.063,325.915,324.144,319.73,309.047,293.537,271.039,177154441216,28.883,0.56,505.098,494.439
2021-02-18 00:00:00-05:00,321.61,325.155,319.789,323.792,32236200,0.0,0.0,0.0,65.113,69.427,77.507,83.445,25.24,5.074,5.165,324.959,323.668,320.018,310.126,296.586,274.557,325.86,324.737,320.153,309.583,294.195,271.614,177154441216,28.883,0.56,505.098,494.439
2021-02-19 00:00:00-05:00,325.145,325.272,321.357,322.38,39157700,0.0,0.0,0.0,76.061,65.113,67.659,76.138,24.986,4.652,5.062,324.099,323.433,320.243,310.607,297.097,275.033,325.167,324.813,320.38,310.057,294.779,272.17,177154441216,28.883,0.56,505.098,494.439
2021-02-22 00:00:00-05:00,317.977,319.244,313.819,314.023,47256900,0.0,0.0,0.0,50.031,76.061,1.316,48.827,-42.614,3.602,4.77,320.741,321.722,319.651,310.741,297.432,275.421,322.438,323.945,320.235,310.343,295.224,272.677,177154441216,28.883,0.56,505.098,494.439
2021-02-23 00:00:00-05:00,308.725,314.764,302.882,313.089,97241900,0.0,0.0,0.0,38.929,50.031,38.544,35.84,-91.478,2.664,4.349,318.19,320.153,319.026,310.833,297.742,275.796,319.699,322.766,319.912,310.746,295.672,273.166,177154441216,28.883,0.56,505.098,494.439
2021-02-24 00:00:00-05:00,310.42,315.981,307.713,315.669,58206300,0.0,0.0,0.0,46.167,38.929,48.29,29.383,-63.14,2.104,3.9,317.35,319.338,318.706,311.023,298.097,276.193,317.791,321.853,319.695,311.178,296.128,273.653,177154441216,28.883,0.56,505.098,494.439
2021-02-25 00:00:00-05:00,313.001,315.572,303.116,304.664,110182600,0.0,0.0,0.0,26.338,46.167,6.73,31.188,-107.99,0.764,3.273,313.121,316.67,317.369,310.773,298.227,276.476,313.965,319.913,319.374,311.403,296.431,274.076,177154441216,28.883,0.56,505.098,494.439
2021-02-26 00:00:00-05:00,307.606,310.78,302.765,305.94,104739800,0.0,0.0,0.0,26.717,26.338,11.937,22.319,-110.889,-0.193,2.58,310.728,314.719,316.281,310.584,298.38,276.769,310.677,317.922,319.024,311.61,296.824,274.528,177154441216,28.883,0.56,505.098,494.439
2021-03-01 00:00:00-05:00,310.936,315.484,309.641,315.143,49164500,0.0,0.0,0.0,38.702,26.717,46.54,21.736,-49.7,-0.207,2.022,312.2,314.796,316.172,310.763,298.712,277.151,310.901,316.67,319.464,311.938,297.251,275.039,177154441216,28.883,0.56,505.098,494.439
2021-03-02 00:00:00-05:00,315.786,315.864,309.836,310.089,48370000,0.0,0.0,0.0,34.685,38.702,27.536,28.671,-60.84,-0.618,1.494,311.496,313.94,315.593,310.736,298.937,277.479,310.301,315.0,319.268,312.133,297.677,275.513,177154441216,28.883,0.56,505.098,494.439
2021-03-03 00:00:00-05:00,308.988,309.933,301.032,301.09,86301100,0.0,0.0,0.0,29.597,34.685,0.206,24.76,-117.332,-1.651,0.865,308.027,311.604,314.212,310.358,298.98,277.714,307.385,312.588,318.366,312.108,297.967,275.935,177154441216,28.883,0.56,505.098,494.439
2021-03-04 00:00:00-05:00,300.72,303.895,292.276,296.162,139131600,0.0,0.0,0.0,25.033,29.597,10.478,12.74,-151.195,-2.835,0.125,304.072,308.796,312.493,309.801,298.924,277.897,305.685,309.825,317.281,312.003,298.193,276.313,177154441216,28.883,0.56,505.098,494.439
