Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Oscillators_RSI,Oscillators_RSI[1],Oscillators_STOCH.K,Oscillators_STOCH.D,Oscillators_CCI,Oscillators_MACD.macd,Oscillators_MACD.signal,Moving Averages_EMA5,Moving Averages_EMA10,Moving Averages_EMA20,Moving Averages_EMA50,Moving Averages_EMA100,Moving Averages_EMA200,Moving Averages_SMA5,Moving Averages_SMA10,Moving Averages_SMA20,Moving Averages_SMA50,Moving Averages_SMA100,Moving Averages_SMA200,Info_marketCap,Info_trailingPE,Info_dividendYield,Info_fiftyDayAverage,Info_twoHundredDayAverage
2024-05-14 13:30:00-04:00,443.83,446.465,443.78,445.96,14143655,0.0,0.0,0.0,82.91196959130654,80.71453437207421,95.40277144984387,91.27073062236366,75.03936151421847,3.779,3.18,443.813,442.044,438.817,435.902,436.946,439.075,443.59600219726565,442.07879333496095,437.40495147705076,432.33292297363283,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-15 09:30:00-04:00,448.44,451.91,446.9,451.91,23289449,0.0,0.0,0.0,85.7457692940806,82.91196959130654,100.0,94.75673087909449,100.65180386391417,4.344,3.413,446.512,443.838,440.064,436.529,437.242,439.202,445.5660034179688,443.35399475097654,438.908056640625,432.6139233398437,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-15 13:30:00-04:00,451.92,453.15,451.765,452.86,15399828,0.0,0.0,0.0,84.85619737608388,85.7457692940806,98.13977797918383,97.84751647634256,100.87580446500678,4.812,3.693,448.628,445.478,441.283,437.17,437.551,439.338,447.5299987792969,444.63299255371095,440.4785552978516,432.90552307128905,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-16 09:30:00-04:00,452.69,454.69,452.53,452.98,17362057,0.0,0.0,0.0,83.68538503749771,84.85619737608388,90.01756586307891,96.05244794742093,89.46552786553963,5.134,3.981,450.079,446.842,442.397,437.79,437.857,439.474,449.50599975585936,445.8139923095703,441.83555603027344,433.09052307128906,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-16 13:30:00-04:00,452.97,453.53,451.81,451.96,15778289,0.0,0.0,0.0,85.84590039047474,83.68538503749771,84.06298769320668,90.74011051182315,69.33766833301881,5.247,4.234,450.706,447.773,443.308,438.345,438.136,439.598,451.1339965820313,446.90699157714846,443.0875549316406,433.22052307128905,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-17 09:30:00-04:00,452.09,452.72,451.06,451.41,18941548,0.0,0.0,0.0,89.08872107831492,85.84590039047474,79.7905326000094,84.62369538543167,58.45627197671367,5.231,4.434,450.941,448.434,444.079,438.858,438.399,439.716,452.2239990234375,447.9100006103516,443.9005554199219,433.5023254394531,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-17 13:30:00-04:00,451.416,451.84,449.54,451.77,15355075,0.0,0.0,0.0,88.6903500432937,89.08872107831492,82.00855544587036,81.95402524636215,48.370499006353946,5.188,4.584,451.217,449.041,444.812,439.364,438.664,439.836,452.19599609375,448.88099975585936,444.7153045654297,433.7715252685547,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-20 09:30:00-04:00,451.99,455.58,451.785,454.37,12989688,0.0,0.0,0.0,89.71107499931142,88.6903500432937,92.00771632623854,84.60226812403944,63.80758633800453,5.302,4.728,452.268,450.01,445.722,439.953,438.975,439.98,452.497998046875,450.0139984130859,445.52088928222656,434.203125,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-20 13:30:00-04:00,454.36,455.318,453.48,454.92,8854967,0.0,0.0,0.0,90.78094760232241,89.71107499931142,95.62380861801714,89.88002679670869,64.01187426752435,5.375,4.858,453.152,450.902,446.598,440.54,439.291,440.129,452.88599853515626,451.1959991455078,446.250390625,434.68172546386717,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-21 09:30:00-04:00,453.04,455.11,452.84,454.75,11721130,0.0,0.0,0.0,89.67354589826948,90.78094760232241,94.33068666709747,93.98740387045105,57.913702140622554,5.358,4.958,453.685,451.602,447.374,441.097,439.597,440.275,453.4440002441406,452.28899841308595,446.900895690918,435.14392517089846,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
